Shopify SKU,Shopify Product ID,Product Type,Supplier Name - Vendor 1,Vendor Sub Brand,Decorator Name - Vendor 2,Variant Size,Variant Color,Supplier Product Name,Keepers Collective Product Name,Supplier SKU,One Time Set Up Fee,Recurring Set Up Fee,Quote Number,Keepers Collective Product Shot Link,Inventory on Hand,Enforced Multiple Quantity,Base Lead Time,Start Production,End Production,Additional Lead Time Notes,Different cost based on quantity?,Ship to (AU or Customer),Proof Number,Straight Up/Keepers Collective Proof Link,Logo Name,Logo Color,Logo Size,Decoration Location,Decoration Type,Artwork/Vector Link,Supplier Decorated or Blank Product,Minimum Order Quantity,Maximum Order Quantity,Volume Quantity_1,Total Wholesale Cost Per Item_1,Decorator Cost Per Item_1,Supplier Cost Per Item_1,Sale Price Per Item_1,Volume Quantity_2,Total Wholesale Cost Per Item_2,Decorator Cost Per Item_2,Supplier Cost Per Item_2,Sale Price Per Item_2,Volume Quantity_3,Total Wholesale Cost Per Item_3,Decorator Cost Per Item_3,Supplier Cost Per Item_3,Sale Price Per Item_3,Volume Quantity_4,Total Wholesale Cost Per Item_4,Decorator Cost Per Item_4,Supplier Cost Per Item_4,Sale Price Per Item_4,Volume Quantity_5,Total Wholesale Cost Per Item_5,Decorator Cost Per Item_5,Supplier Cost Per Item_5,Sale Price Per Item_5
J-01-0-30_536-EC8052-Black-0-E-STD-W,4569450905658,Supplier/Decorator,Alphabroder ,Econscious,Art Unlimited,,Black,Econscious Organic Cotton Go Lite Tote,Organic Cotton Go Lite Tote | J.P. Morgan,EC8052,,,,https://cdn.shopify.com/s/files/1/0258/0883/0522/products/J-01-0-30_536-EC8052-Black-0-E-STD-WE.jpg?v=1602214343,,,7-10 Business Days,7 Business Days ,10 Business Days,,,AU,,https://cdn.shopify.com/s/files/1/0258/0883/0522/files/JPM_Black_Organic_Cotton_Go_Lite_Tote__C21009_Black_2.jpg?v=1610120632,J.P. Morgan,White,See Proof,See Proof,Embroidery,https://cdn.shopify.com/s/files/1/0258/0883/0522/files/JPMORGAN_WHITE.pdf?v=1608221527,Supplier Decorated,6,200,6,4.70,1.50,3.20,7.23,24,4.70,1.50,3.20,7.01,48,4.70,1.50,3.20,6.71,100,4.70,1.50,3.20,6.44,200,4.70,1.50,3.20,6.27
J-01-0-30_536-EC8052-Natural-0-E-STD-BLK,4569450905658,Supplier/Decorator,Alphabroder ,Econscious,Art Unlimited,,Natural,Econscious Organic Cotton Go Lite Tote,Organic Cotton Go Lite Tote | J.P. Morgan,EC8052,,,,https://cdn.shopify.com/s/files/1/0258/0883/0522/products/J-01-0-30_536-EC8052-Natural-0-E-STD-BLKE.jpg?v=1602214344,,,7-10 Business Days,7 Business Days ,10 Business Days,,,AU,,https://cdn.shopify.com/s/files/1/0258/0883/0522/files/JPM_Black_Organic_Cotton_Go_Lite_Tote__C21009_Black_1.jpg?v=1610120631,J.P. Morgan,Black,See Proof,See Proof,Embroidery,https://cdn.shopify.com/s/files/1/0258/0883/0522/files/JPMORGAN_BLACK.pdf?v=1608221527,Supplier Decorated,6,200,6,4.70,1.50,3.20,7.23,24,4.70,1.50,3.20,7.01,48,4.70,1.50,3.20,6.71,100,4.70,1.50,3.20,6.44,200,4.70,1.50,3.20,6.27
C-01-0-30_536-EC8052-Black-0-E-STD-B,4498246107194,Supplier/Decorator,Alphabroder ,Econscious,Art Unlimited,,Black,Econscious Organic Cotton Go Lite Tote,Organic Cotton Go Lite Tote | Chase,EC8052,,,,https://cdn.shopify.com/s/files/1/0258/0883/0522/products/C-01-0-30_536-EC8052-Black-0-E-STD-WE.jpg?v=1602214248,,,7-10 Business Days,7 Business Days ,10 Business Days,,,AU,,https://cdn.shopify.com/s/files/1/0258/0883/0522/files/Chase_Black_Organic_Cotton_Go_Lite_Tote__C21009_PMS300C.jpg?v=1610120631,Octagon,PMS 300,See Proof,See Proof ,Embroidery,https://cdn.shopify.com/s/files/1/0258/0883/0522/files/CHASE_OCTAGON_BLUE.pdf?v=1608223848,Supplier Decorated,6,200,6,4.70,1.50,3.20,7.23,24,4.70,1.50,3.20,7.01,48,4.70,1.50,3.20,6.71,100,4.70,1.50,3.20,6.44,200,4.70,1.50,3.20,6.27
C-01-0-30_536-EC8052-Natural-0-E-STD-B,4498246107194,Supplier/Decorator,Alphabroder ,Econscious,Art Unlimited,,Natural,Econscious Organic Cotton Go Lite Tote,Organic Cotton Go Lite Tote | Chase,EC8052,,,,https://cdn.shopify.com/s/files/1/0258/0883/0522/products/C-01-0-30_536-EC8052-Natural-0-E-STD-BLKE.jpg?v=1602214248,,,7-10 Business Days,7 Business Days ,10 Business Days,,,AU,,https://cdn.shopify.com/s/files/1/0258/0883/0522/files/Chase_Natural_Organic_Cotton_Go_Lite_Tote__C21009_PMS300C.jpg?v=1610120631,Octagon,PMS 300,See Proof,See Proof ,Embroidery,https://cdn.shopify.com/s/files/1/0258/0883/0522/files/CHASE_OCTAGON_BLUE.pdf?v=1608223848,Supplier Decorated,6,200,6,4.70,1.50,3.20,7.23,24,4.70,1.50,3.20,7.01,48,4.70,1.50,3.20,6.71,100,4.70,1.50,3.20,6.44,200,4.70,1.50,3.20,6.27
J-01-0-30_536-EC8015-Black-0-E-STD-WE,4569440452666,Supplier/Decorator,Alphabroder ,Econscious,Art Unlimited,,Black,Econscious 6.8 oz Hemp Market Tote,Hemp Market Tote | J.P. Morgan,EC8015,,,,https://cdn.shopify.com/s/files/1/0258/0883/0522/products/J-01-0-30_536-EC8015-Black-0-E-STD-WE.jpg?v=1603984369,,,7-10 Business Days,7 Business Days ,10 Business Days,,,AU,,https://cdn.shopify.com/s/files/1/0258/0883/0522/files/JPM_Black__Hemp_Market_Tote_C210010_White_1.jpg?v=1610126126,J.P. Morgan,White,See Proof,See Proof,Embroidery,https://cdn.shopify.com/s/files/1/0258/0883/0522/files/JPMORGAN_WHITE.pdf?v=1608221527,Supplier Decorated,6,200,6,8.70,1.50,7.20,13.38,24,8.70,1.50,7.20,12.99,48,8.70,1.50,7.20,12.43,100,8.70,1.50,7.20,11.92,200,8.70,1.50,7.20,11.60
 J-01-0-30_536-EC8015-Charcoal-0-E-STD-WE,4569440452666,Supplier/Decorator,Alphabroder ,Econscious,Art Unlimited,,Charcoal,Econscious 6.8 oz Hemp Market Tote,Hemp Market Tote | J.P. Morgan,EC8015,,,,https://cdn.shopify.com/s/files/1/0258/0883/0522/products/J-01-0-30_536-EC8015-Charcoal-0-E-STD-WE.jpg?v=1603984372,,,7-10 Business Days,7 Business Days ,10 Business Days,,,AU,,https://cdn.shopify.com/s/files/1/0258/0883/0522/files/Chase_Charcoal__Hemp_Market_Tote_C210011_White.jpg?v=1610126406,J.P. Morgan,White,See Proof,See Proof,Embroidery,https://cdn.shopify.com/s/files/1/0258/0883/0522/files/JPMORGAN_WHITE.pdf?v=1608221527,Supplier Decorated,6,200,6,8.70,1.50,7.20,13.38,24,8.70,1.50,7.20,12.99,48,8.70,1.50,7.20,12.43,100,8.70,1.50,7.20,11.92,200,8.70,1.50,7.20,11.60
 J-01-0-30_536-EC8015-Natural-0-E-STD-BLKE,4569440452666,Supplier/Decorator,Alphabroder ,Econscious,Art Unlimited,,Natural,Econscious 6.8 oz Hemp Market Tote,Hemp Market Tote | J.P. Morgan,EC8015,,,,https://cdn.shopify.com/s/files/1/0258/0883/0522/products/J-01-0-30_536-EC8015-Natural-0-E-STD-BLKE.jpg?v=1603984376,,,7-10 Business Days,7 Business Days ,10 Business Days,,,AU,,https://cdn.shopify.com/s/files/1/0258/0883/0522/files/JPM_Natural__Hemp_Market_Tote_C210010_Black_1.jpg?v=1610126126,J.P. Morgan,Black,See Proof,See Proof,Embroidery,https://cdn.shopify.com/s/files/1/0258/0883/0522/files/JPMORGAN_BLACK.pdf?v=1608221527,Supplier Decorated,6,200,6,8.70,1.50,7.20,13.38,24,8.70,1.50,7.20,12.99,48,8.70,1.50,7.20,12.43,100,8.70,1.50,7.20,11.92,200,8.70,1.50,7.20,11.60
 J-01-0-30_536-EC8015-Navy-0-E-STD-WE,4569440452666,Supplier/Decorator,Alphabroder ,Econscious,Art Unlimited,,Navy,Econscious 6.8 oz Hemp Market Tote,Hemp Market Tote | J.P. Morgan,EC8015,,,,https://cdn.shopify.com/s/files/1/0258/0883/0522/products/J-01-0-30_536-EC8015-Navy-0-E-STD-WE.jpg?v=1603984376,,,7-10 Business Days,7 Business Days ,10 Business Days,,,AU,,https://cdn.shopify.com/s/files/1/0258/0883/0522/files/JPM_Natural__Hemp_Market_Tote_C210010_Black_2.jpg?v=1610126126,J.P. Morgan,White,See Proof,See Proof,Embroidery,https://cdn.shopify.com/s/files/1/0258/0883/0522/files/JPMORGAN_WHITE.pdf?v=1608221527,Supplier Decorated,6,200,6,8.70,1.50,7.20,13.38,24,8.70,1.50,7.20,12.99,48,8.70,1.50,7.20,12.43,100,8.70,1.50,7.20,11.92,200,8.70,1.50,7.20,11.60
J-01-0-173-Shoretex_Daypack-Baltic Black -0-E-STD-WE,4585301049402,Supplier/Decorator,Solgaard,Solgaard,Art Unlimited,,Baltic Black ,Shoretex Daypack,Shore-Tex Daypack | J.P. Morgan,,$22.00 ,,,https://cdn.shopify.com/s/files/1/0258/0883/0522/products/J-01-0-173-Shoretex_Daypack-BalticBlack-0-E-STD-WE.jpg?v=1604347874,200,,2-3 Weeks,14 Days,21 Days,,,AU,,https://cdn.shopify.com/s/files/1/0258/0883/0522/files/JPM_Black_Daypack_C210011_White.jpg?v=1611074925,J.P. Morgan,White,See Proof,See Proof,Embroidery,https://cdn.shopify.com/s/files/1/0258/0883/0522/files/JPMORGAN_WHITE.pdf?v=1608221527,Supplier Decorated,25,100,25,51.50,1.50,50.00,70.55,50,51.50,1.50,50.00,68.67,100,51.50,1.50,50.00,66.88,,,,,,,,,,
C-01-0-173-Shoretex_Daypack-Baltic Black -0-E-STD-WE,4585296527418,Supplier/Decorator,Solgaard,Solgaard,Art Unlimited,,Baltic Black ,Shoretex Daypack,Shore-Tex Daypack | Chase,,$22.00 ,,,https://cdn.shopify.com/s/files/1/0258/0883/0522/products/C-01-0-173-Shoretex_Daypack-BalticBlack-0-E-STD-WE_0d0754f7-f6ad-47e2-bef1-d791efc0499d.jpg?v=1604347831,200,,2-3 Weeks,14 Days,21 Days,,,AU,,https://cdn.shopify.com/s/files/1/0258/0883/0522/files/Chase_Black_Daypack_C210010_White.jpg?v=1611074925,Chase Octagon,White,See Proof,See Proof,Embroidery,https://cdn.shopify.com/s/files/1/0258/0883/0522/files/CHASE_WHITE.pdf?v=1608221527,Supplier Decorated,25,100,25,51.50,1.50,50.00,70.55,50,51.50,1.50,50.00,68.67,100,51.50,1.50,50.00,66.88,,,,,,,,,,
