Shopify SKU/Variant SKU,Shopify Product ID,Product Type,Supplier Type,Supplier Name,Supplier Sub Brands,Variant Size,Variant Color,Supplier Product Name,Keepers Collective Product Name,Supplier SKU,One Time Set Up Fee,Quote Number,Keepers Collective Product Shot Link,Inventory on Hand,Enforced Multiple Quantity,Base Lead Time,Start Production,End Production,Additional Lead Time Notes,Different cost based on quantity?,Ship to (Eggers or Customer),Proof Number,Supplier Proof Link,Logo Name,Logo Color,Logo Size,Decoration Location,Decoration Type,Artwork/Logo Vector URL,Supplier Decorated or Blank Product,Minimum Order Quantity,Maximum Order Quantity,Price Level/Volume Quantity_1,Wholesale Cost Per Item_1,Sale Price Per Volume_1,Price Level/Volume Quantity_2,Wholesale Cost Per Item_2,Sale Price Per Volume_2,Price Level/Volume Quantity_3,Wholesale Cost Per Item_3,Sale Price Per Volume_3,Price Level/Volume Quantity_4,Wholesale Cost Per Item_4,Sale Price Per Volume_4,Price Level/Volume Quantity_5,Wholesale Cost Per Item_5,Sale Price Per Volume_5,,
J-06-0-180-3x4Post-ItFullColor50-0-0-180-STD-BLK,4623802859578,Single Supplier,Supplier,3M Promotional Products,Post-It,50 Sheets,4CP,Post-It Custom Printed Noted Full Color Program 3 x 4- 50 Sheets,"50 Sheet Post-It Notes 3"" x 4"" | J.P. Morgan",,$6.40,211155,https://cdn.shopify.com/s/files/1/0258/0883/0522/products/J-06-0-180-3x4Post-ItFullColor50-0-0-180-STD-BLK.jpg?v=1609266563,,,5-7 Business Days,5 Business Days,7 Business Days,,Yes,Customer,,,J.P. Morgan,Black,See Proof,See Proof,4CP,https://cdn.shopify.com/s/files/1/0258/0883/0522/files/JPMORGAN_BLACK.pdf?v=1608221527,3M Promotional Products,500,1000,500,0.40,0.67,1000,0.40,0.62,,,,,,,,,,,
C-06-0-180-3x4Post-ItFullColor50-0-0-180-STD-4CP,4623797321786,Single Supplier,Supplier,3M Promotional Products,Post-It,50 Sheets,4CP,Post-It Custom Printed Noted Full Color Program 3 x 4- 50 Sheets,"50 Sheet Post-It Notes 3"" x 4"" | Chase",,$6.40,211155,https://cdn.shopify.com/s/files/1/0258/0883/0522/products/C-06-0-180-3x4Post-ItFullColor50-0-0-180-STD-4CP.jpg?v=1609266541,,,5-7 Business Days,5 Business Days,7 Business Days,,Yes,Customer,,,Chase Octagon,See Proof,See Proof,See Proof,4CP,https://cdn.shopify.com/s/files/1/0258/0883/0522/files/CHASE_COLOR.pdf?v=1608221527,3M Promotional Products,500,1000,500,0.40,0.67,1000,0.40,0.62,,,,,,,,,,,
J-06-0-180-3x4Post-ItFullColor25-0-0-180-STD-BLK,4623804268602,Single Supplier,Supplier,3M Promotional Products,Post-It,25 Sheets,4CP,Post-It Custom Printed Noted Full Color Program 3 x 4- 25 Sheets,"25 Sheet Post-It Notes 3"" x 4"" | J.P. Morgan",,$6.40,211155,https://cdn.shopify.com/s/files/1/0258/0883/0522/products/J-06-0-180-3x4Post-ItFullColor25-0-0-180-STD-BLK.jpg?v=1609266408,,,5-7 Business Days,5 Business Days,7 Business Days,,Yes,Customer,,,J.P. Morgan,Black,See Proof,See Proof,4CP,https://cdn.shopify.com/s/files/1/0258/0883/0522/files/JPMORGAN_BLACK.pdf?v=1608221527,3M Promotional Products,500,1000,500,0.22,0.37,1000,0.22,0.32,,,,,,,,,,,
C-06-0-180-3x4Post-ItFullColor25-0-0-180-STD-4CP,4623803973690,Single Supplier,Supplier,3M Promotional Products,Post-It,25 Sheets,4CP,Post-It Custom Printed Noted Full Color Program 3 x 4- 25 Sheets,"25 Sheet Post-It Notes 3"" x 4"" | Chase",,$6.40,211155,https://cdn.shopify.com/s/files/1/0258/0883/0522/products/C-06-0-180-3x4Post-ItFullColor25-0-0-180-STD-4CP.jpg?v=1609266372,,,5-7 Business Days,5 Business Days,7 Business Days,,Yes,Customer,,,Chase Octagon,See Proof,See Proof,See Proof,4CP,https://cdn.shopify.com/s/files/1/0258/0883/0522/files/CHASE_COLOR.pdf?v=1608221527,3M Promotional Products,500,1000,500,0.22,0.37,1000,0.22,0.32,,,,,,,,,,,
J-03-0-35-5661BLK-Black-0-35-STD-W,4606844960826,Single Supplier,Supplier,HIT Promotional Products ,Drinkware Basics,12oz,Black,12 OZ. Vinay Stemless Wine Glass,Vinay Stemless Wine Tumbler 12oz | J.P. Morgan,5661BLK,,322445,https://cdn.shopify.com/s/files/1/0258/0883/0522/products/J-03-0-35-5661BLK-Black-0-35-STD-W.jpg?v=1606768291,,,5-7 Business Days,5 Business Days,7 Business Days,,No,Customer,,,J.P. Morgan,White,See Proof,See Proof,Screen Print,https://cdn.shopify.com/s/files/1/0258/0883/0522/files/JPMORGAN_WHITE.pdf?v=1608221527,HIT Promotional Products ,36,1008,36,4.57,7.29,72,4.57,6.97,288,4.57,6.29,1008,4.57,5.99,,,,,
J-03-0-35-5661WHT-White-0-35-STD-W,4606844960826,Single Supplier,Supplier,HIT Promotional Products ,Drinkware Basics,12oz,White,12 OZ. Vinay Stemless Wine Glass,Vinay Stemless Wine Tumbler 12oz | J.P. Morgan,5661WHT,,322445,https://cdn.shopify.com/s/files/1/0258/0883/0522/products/661WHT-White-0-35-STD-BLK.jpg?v=1606768306,,,5-7 Business Days,5 Business Days,7 Business Days,,No,Customer,,,J.P. Morgan,Black,See Proof,See Proof,Screen Print,https://cdn.shopify.com/s/files/1/0258/0883/0522/files/JPMORGAN_BLACK.pdf?v=1608221527,HIT Promotional Products ,36,1008,36,4.57,7.29,72,4.57,6.97,288,4.57,6.29,1008,4.57,5.99,,,,,
J-03-0-35-5661GRA-Gray-0-35-STD-BLK,4606844960826,Single Supplier,Supplier,HIT Promotional Products ,Drinkware Basics,12oz,Gray,12 OZ. Vinay Stemless Wine Glass,Vinay Stemless Wine Tumbler 12oz | J.P. Morgan,5661GRA,,322445,https://cdn.shopify.com/s/files/1/0258/0883/0522/products/J-03-0-35-5661GRA-Gray-0-35-STD-BLK.jpg?v=1606768306,,,5-7 Business Days,5 Business Days,7 Business Days,,No,Customer,,,J.P. Morgan,Black,See Proof,See Proof,Screen Print,https://cdn.shopify.com/s/files/1/0258/0883/0522/files/JPMORGAN_BLACK.pdf?v=1608221527,HIT Promotional Products ,36,1008,36,4.57,7.29,72,4.57,6.97,288,4.57,6.29,1008,4.57,5.99,,,,,
C-03-0-35-5661BLK-Black-0-35-STD-W,4606843093050,Single Supplier,Supplier,HIT Promotional Products ,Drinkware Basics,12oz,Black,12 OZ. Vinay Stemless Wine Glass,Vinay Stemless Wine Tumbler 12oz | Chase,5661BLK,,322445,https://cdn.shopify.com/s/files/1/0258/0883/0522/products/C-03-0-35-5661BLK-Black-0-35-STD-W.jpg?v=1606768344,,,5-7 Business Days,5 Business Days,7 Business Days,,No,Customer,,,Chase Octagon,White,See Proof,See Proof,Screen Print,https://cdn.shopify.com/s/files/1/0258/0883/0522/files/CHASE_WHITE.pdf?v=1608221527,HIT Promotional Products ,36,1008,36,4.57,7.29,72,4.57,6.97,288,4.57,6.29,1008,4.57,5.99,,,,,
C-03-0-35-5661WHT-White-0-35-STD-BLK,4606843093050,Single Supplier,Supplier,HIT Promotional Products ,Drinkware Basics,12oz,White,12 OZ. Vinay Stemless Wine Glass,Vinay Stemless Wine Tumbler 12oz | Chase,5661WHT,,322445,https://cdn.shopify.com/s/files/1/0258/0883/0522/products/C-03-0-35-5661WHT-White-0-35-STD-BLK.jpg?v=1606768390,,,5-7 Business Days,5 Business Days,7 Business Days,,No,Customer,,,Chase Octagon,Black,See Proof,See Proof,Screen Print,https://cdn.shopify.com/s/files/1/0258/0883/0522/files/CHASE_BLACK.pdf?v=1608221527,HIT Promotional Products ,36,1008,36,4.57,7.29,72,4.57,6.97,288,4.57,6.29,1008,4.57,5.99,,,,,
C-03-0-35-5661GRA-Gray-0-35-STD-W,4606843093050,Single Supplier,Supplier,HIT Promotional Products ,Drinkware Basics,12oz,Gray,12 OZ. Vinay Stemless Wine Glass,Vinay Stemless Wine Tumbler 12oz | Chase,5661GRA,,322445,https://cdn.shopify.com/s/files/1/0258/0883/0522/products/C-03-0-35-5661GRA-Gray-0-35-STD-BLK.jpg?v=1606768390,,,5-7 Business Days,5 Business Days,7 Business Days,,No,Customer,,,Chase Octagon,Black,See Proof,See Proof,Screen Print,https://cdn.shopify.com/s/files/1/0258/0883/0522/files/CHASE_BLACK.pdf?v=1608221527,HIT Promotional Products ,36,1008,36,4.57,7.29,72,4.57,6.97,288,4.57,6.29,1008,4.57,5.99,,,,,
C-03-0-35-5661BLU-Blue-0-35-STD-W,4606843093050,Single Supplier,Supplier,HIT Promotional Products ,Drinkware Basics,12oz,Blue,12 OZ. Vinay Stemless Wine Glass,Vinay Stemless Wine Tumbler 12oz | Chase,5661BLU,,322445,https://cdn.shopify.com/s/files/1/0258/0883/0522/products/C-03-0-35-5661BLU-Blue-0-35-STD-W.jpg?v=1606768390,,,5-7 Business Days,5 Business Days,7 Business Days,,No,Customer,,,Chase Octagon,White,See Proof,See Proof,Screen Print,https://cdn.shopify.com/s/files/1/0258/0883/0522/files/CHASE_WHITE.pdf?v=1608221527,HIT Promotional Products ,36,1008,36,4.57,7.29,72,4.57,6.97,288,4.57,6.29,1008,4.57,5.99,,,,,
J-03-0-35-5753BLK-Black-0-35-STD-W,4606839488570,Single Supplier,Supplier,HIT Promotional Products ,Drinkware Basics,20oz,Black,20 OZ. Two-Tone Himalayan Tumber,Himalayan Tumbler 18oz | J.P. Morgan,5753BLK,,322445,https://cdn.shopify.com/s/files/1/0258/0883/0522/products/J-03-0-35-5753BLK-Black-0-35-STD-W.jpg?v=1606767682,,,5-7 Business Days,5 Business Days,7 Business Days,,No,Customer,,,J.P. Morgan,White,See Proof,See Proof,Screen Print,https://cdn.shopify.com/s/files/1/0258/0883/0522/files/JPMORGAN_WHITE.pdf?v=1608221527,HIT Promotional Products ,36,1008,36,5.05,8.79,72,5.05,8.25,288,5.05,7.21,1008,5.05,6.91,,,,,
 J-03-0-35-5753WHT-White-0-35-STD-BLK,4606839488570,Single Supplier,Supplier,HIT Promotional Products ,Drinkware Basics,20oz,White,20 OZ. Two-Tone Himalayan Tumber,Himalayan Tumbler 18oz | J.P. Morgan,5753WHT,,322445,https://cdn.shopify.com/s/files/1/0258/0883/0522/products/J-03-0-35-5753WHT-White-0-35-STD-BLK.jpg?v=1606767683,,,5-7 Business Days,5 Business Days,7 Business Days,,No,Customer,,,J.P. Morgan,Black,See Proof,See Proof,Screen Print,https://cdn.shopify.com/s/files/1/0258/0883/0522/files/JPMORGAN_BLACK.pdf?v=1608221527,HIT Promotional Products ,36,1008,36,5.05,8.79,72,5.05,8.25,288,5.05,7.21,1008,5.05,6.91,,,,,
 J-03-0-35-5753GRA-Gray-0-35-STD-BLK,4606839488570,Single Supplier,Supplier,HIT Promotional Products ,Drinkware Basics,20oz,Gray,20 OZ. Two-Tone Himalayan Tumber,Himalayan Tumbler 18oz | J.P. Morgan,5753GRA,,322445,https://cdn.shopify.com/s/files/1/0258/0883/0522/products/J-03-0-35-5753GRA-Gray-0-35-STD-BLK.jpg?v=1606767683,,,5-7 Business Days,5 Business Days,7 Business Days,,No,Customer,,,J.P. Morgan,Black,See Proof,See Proof,Screen Print,https://cdn.shopify.com/s/files/1/0258/0883/0522/files/JPMORGAN_BLACK.pdf?v=1608221527,HIT Promotional Products ,36,1008,36,5.05,8.79,72,5.05,8.25,288,5.05,7.21,1008,5.05,6.91,,,,,
 J-03-0-35-5753NVY-Navy-0-35-STD-W,4606839488570,Single Supplier,Supplier,HIT Promotional Products ,Drinkware Basics,20oz,Navy,20 OZ. Two-Tone Himalayan Tumber,Himalayan Tumbler 18oz | J.P. Morgan,5753NVY,,322445,https://cdn.shopify.com/s/files/1/0258/0883/0522/products/J-03-0-35-5753NVY-Navy-0-35-STD-W.jpg?v=1606767683,,,5-7 Business Days,5 Business Days,7 Business Days,,No,Customer,,,J.P. Morgan,White,See Proof,See Proof,Screen Print,https://cdn.shopify.com/s/files/1/0258/0883/0522/files/JPMORGAN_WHITE.pdf?v=1608221527,HIT Promotional Products ,36,1008,36,5.05,8.79,72,5.05,8.25,288,5.05,7.21,1008,5.05,6.91,,,,,
